"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2007","2007","USD","US Dollar","6","Millions","2015","2015",791.096,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2008","2008","USD","US Dollar","6","Millions","2015","2015",-24874.347,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2009","2009","USD","US Dollar","6","Millions","2015","2015",-24362.047,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2010","2010","USD","US Dollar","6","Millions","2015","2015",-55605.225,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2011","2011","USD","US Dollar","6","Millions","2015","2015",-61921.708,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2012","2012","USD","US Dollar","6","Millions","2015","2015",-68137.955,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2013","2013","USD","US Dollar","6","Millions","2015","2015",-67824.758,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2014","2014","USD","US Dollar","6","Millions","2015","2015",-52024.536,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2015","2015","USD","US Dollar","6","Millions","2015","2015",-39312.776,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2016","2016","USD","US Dollar","6","Millions","2015","2015",-32445.209,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2017","2017","USD","US Dollar","6","Millions","2015","2015",-50338.852,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2018","2018","USD","US Dollar","6","Millions","2015","2015",-50301.684,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",-45465.972,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2020","2020","USD","US Dollar","6","Millions","2015","2015",-28645.813,,
"CAN","Canada","B11","External balance of goods and services","VPVOB","Constant prices, constant PPPs, OECD base year","2021","2021","USD","US Dollar","6","Millions","2015","2015",-62451.692,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","1990","1990","USD","US Dollar","6","Millions","2015","2015",11582.895,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","1991","1991","USD","US Dollar","6","Millions","2015","2015",8107.594,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","1992","1992","USD","US Dollar","6","Millions","2015","2015",7124.259,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","1993","1993","USD","US Dollar","6","Millions","2015","2015",7764.151,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","1994","1994","USD","US Dollar","6","Millions","2015","2015",8966.258,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","1995","1995","USD","US Dollar","6","Millions","2015","2015",8963.525,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","1996","1996","USD","US Dollar","6","Millions","2015","2015",8155.453,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","1997","1997","USD","US Dollar","6","Millions","2015","2015",5774.065,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","1998","1998","USD","US Dollar","6","Millions","2015","2015",6758.673,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","1999","1999","USD","US Dollar","6","Millions","2015","2015",8035.082,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2000","2000","USD","US Dollar","6","Millions","2015","2015",7013.839,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2001","2001","USD","US Dollar","6","Millions","2015","2015",8777.956,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2002","2002","USD","US Dollar","6","Millions","2015","2015",9974.42,,
