"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1791787","","","","0"
"2010","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1791169","","","","0"
"2011","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1810914","","","","0"
"2012","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1847505","","","","0"
"2013","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1892730","","","","0"
"2014","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1931039","","","","0"
"2015","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1969492","","","","0"
"2016","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2003223","","","","0"
"2017","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2021564","","","","0"
"2018","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2033313","","","","0"
"2019","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2041278","","","","0"
"2020","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2046207","","","","0"
"2021","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2044651","","","","0"
"2022","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2062626","","","","0"
"1980","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1968636","","","","0"
"1981","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1934564","","","","0"
"1982","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1911472","","","","0"
"1983","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1890627","","","","0"
"1984","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1863492","","","","0"
"1985","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1840806","","","","0"
"1986","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1815036","","","","0"
"1987","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1819719","","","","0"
"1988","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1831393","","","","0"
"1989","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1856124","","","","0"
"1990","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1874934","","","","0"
"1991","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1902403","","","","0"
"1992","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1930673","","","","0"
"1993","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1957969","","","","0"
"1994","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1982380","","","","0"
"1995","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1997650","","","","0"
"1996","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2009325","","","","0"
"1997","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2020613","","","","0"
"1998","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2026586","","","","0"
"1999","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2034559","","","","0"
"2000","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2055843","","","","0"
"2001","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2079739","","","","0"
"2002","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2114746","","","","0"
"2003","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2139150","","","","0"
"2004","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2141832","","","","0"
"2005","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2124530","","","","0"
"2006","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2096117","","","","0"
"2007","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2065911","","","","0"
"2008","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2032298","","","","0"
"2009","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1996736","","","","0"
"2010","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1959099","","","","0"
"2011","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1918095","","","","0"
"2012","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1895451","","","","0"
"2013","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1886668","","","","0"
"2014","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1893264","","","","0"
"2015","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1895463","","","","0"
"2016","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1919810","","","","0"
"2017","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1948681","","","","0"
"2018","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","1992389","","","","0"
"2019","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2033308","","","","0"
"2020","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2073456","","","","0"
"2021","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2091812","","","","0"
"2022","Canada","2016A000011124","Both sexes","10 to 14 years","Persons","249","units","0","v466716","1.1.19","2126960","","","","0"
"1980","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2420625","","","","0"
"1981","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2369682","","","","0"
"1982","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2293352","","","","0"
"1983","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2191088","","","","0"
"1984","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2091627","","","","0"
"1985","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2016019","","","","0"
"1986","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","1987138","","","","0"
